SRR1761676;Norman
SRR1761677;Norman
SRR1761678;Norman
SRR1761679;Norman
SRR1761680;Norman
SRR1761681;Norman
SRR1761682;Norman
SRR1761683;Norman
SRR1761684;Norman
SRR1761685;Norman
SRR1761686;Norman
SRR1761687;Norman
SRR1761688;Norman
SRR1761689;Norman
SRR1761690;Norman
SRR1761691;Norman
SRR1761692;Norman
SRR1761693;Norman
SRR1761694;Norman
SRR1761695;Norman
SRR1761696;Norman
SRR1761697;Norman
SRR1761698;Matses
SRR1761699;Matses
SRR1761700;Matses
SRR1761701;Matses
SRR1761702;Matses
SRR1761703;Matses
SRR1761704;Matses
SRR1761705;Matses
SRR1761706;Matses
SRR1761707;Matses
SRR1761708;Matses
SRR1761709;Matses
SRR1761710;Matses
SRR1761711;Matses
SRR1761712;Matses
SRR1761713;Matses
SRR1761714;Matses
SRR1761715;Matses
SRR1761716;Matses
SRR1761717;Matses
SRR1761718;Matses
SRR1761719;Matses
SRR1761720;Matses
SRR1761721;Matses
