DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	Prévalence
COLOR	#0000ff
FIELD_LABELS	Prévalence
FIELD_COLORS	#edf8b1

LEGEND_TITLE	Prévalence
LEGEND_COLORS	#ffffcc	#800026
LEGEND_LABELS	Basse	Haute

DATA
SRR17643919_bin.13	0.6
ERR7738515_bin.43	0.457142857142857
SRR1761707_bin.17	0.514285714285714
ERR7738143_bin.57	0.48
SRR1761705_bin.6	0.445714285714286
SRR1761693_bin.7	0.354285714285714
SRR17643478_bin.2	0.348571428571429
SRR17643466_bin.26	0.56
SRR17643523_bin.9	0.405714285714286
ERR11604930_bin.6	0.434285714285714
ERR7738562_bin.3	0.12
SRR17643459_bin.9	0.405714285714286
SRR17643938_bin.16	0.382857142857143
ERR11604944_bin.10	0.514285714285714
SRR17643508_bin.26	0.771428571428571
ERR11604933_bin.16	0.194285714285714
ERR7738594_bin.143	0.142857142857143
SRR17643456_bin.7	0.788571428571429
ERR7745402_bin.7	0.16
SRR1761711_bin.7	0.297142857142857
SRR1761676_bin.11	0.685714285714286
SRR1761721_bin.20	0.645714285714286
SRR17643958_bin.31	0.325714285714286
SRR1761703_bin.21	0.331428571428571
SRR1761691_bin.18	0.462857142857143
SRR17643790_bin.23	0.274285714285714
SRR1761701_bin.16	0.422857142857143
SRR1761692_bin.6	0.782857142857143
ERR7738578_bin.79	0.285714285714286
ERR7738196_bin.10	0.394285714285714
SRR8732225_bin.5	0.417142857142857
ERR7738624_bin.105	0.268571428571429
ERR7738630_bin.123	0.2
SRR17643506_bin.3	0.24
SRR1761686_bin.17	0.234285714285714
ERR7746440_bin.56	0.217142857142857
ERR7738594_bin.47	0.194285714285714
SRR17643662_bin.8	0.405714285714286
SRR17643467_bin.2	0.725714285714286
SRR1761697_bin.23	0.2
SRR17643474_bin.39	0.514285714285714
ERR7746440_bin.72	0.468571428571429
SRR17643933_bin.18	0.0514285714285714
SRR1761717_bin.16	0.257142857142857
ERR7745836_bin.45	0.0971428571428571
ERR7738616_bin.34	0.108571428571429
SRR17643504_bin.9	0.394285714285714
ERR7738158_bin.20	0.24
ERR7738143_bin.20	0.297142857142857
ERR7738611_bin.61	0.142857142857143
ERR7738276_bin.60	0.228571428571429
ERR7738549_bin.57	0.222857142857143
SRR17643507_bin.7	0.611428571428571
