DATASET_COLORSTRIP
SEPARATOR	TAB
DATASET_LABEL	Phylum Colors
COLOR	#ff0000
STRIP_WIDTH	25
MARGIN	5
BORDER_WIDTH	1
BORDER_COLOR	#000000
LEGEND_TITLE	Phyla
LEGEND_SHAPES	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LEGEND_COLORS	#1f77b4,#aec7e8,#ff7f0e,#ffbb78,#2ca02c,#98df8a,#d62728,#ff9896,#9467bd,#c5b0d5,#8c564b,#c49c94,#e377c2,#f7b6d2,#7f7f7f,#c7c7c7,#bcbd22,#dbdb8d,#17becf,#9edae5
LEGEND_LABELS	Bacteroidota,Pseudomonadota,Bacillota_A,Actinomycetota,Spirochaetota,Verrucomicrobiota,Bacillota_C,Bacillota,Cyanobacteriota,Elusimicrobiota,Methanobacteriota,Desulfobacterota,Campylobacterota,Fibrobacterota,Myxococcota,Thermoplasmatota,Eremiobacterota,Bacillota_B,Planctomycetota,Fusobacteriota
DATA
SRR17643467_bin.25	#ff7f0e
SRR17643458_bin.7	#ff7f0e
SRR17643919_bin.11	#ff7f0e
SRR17643913_bin.8	#ff7f0e
SRR1761700_bin.13	#ff7f0e
ERR7738580_bin.100	#1f77b4
ERR7738143_bin.83	#1f77b4
ERR7738547_bin.68	#ff7f0e
SRR17643462_bin.18	#1f77b4
ERR11604944_bin.4	#1f77b4
SRR1761720_bin.13	#ff7f0e
ERR7738215_bin.89	#1f77b4
ERR7738537_bin.87	#98df8a
SRR1761679_bin.2	#ff7f0e
SRR17643913_bin.15	#1f77b4
ERR11604933_bin.15	#1f77b4
ERR7738562_bin.64	#ff7f0e
ERR7738549_bin.36	#1f77b4
SRR1761705_bin.9	#1f77b4
ERR7738253_bin.16	#1f77b4
ERR7738938_bin.92	#1f77b4
ERR7738622_bin.35	#1f77b4
SRR17643479_bin.10	#d62728
ERR7738622_bin.95	#1f77b4
SRR1761681_bin.10	#1f77b4
ERR7746440_bin.41	#ff7f0e
ERR7738562_bin.46	#1f77b4
SRR1761681_bin.18	#1f77b4
ERR7738558_bin.58	#d62728
ERR7746398_bin.79	#1f77b4
ERR7738608_bin.101	#1f77b4
ERR7738549_bin.40	#aec7e8
SRR1761705_bin.15	#ff9896
ERR7745836_bin.21	#ff9896
ERR7738578_bin.27	#1f77b4
ERR7738143_bin.71	#ff7f0e
ERR7738597_bin.50	#ff7f0e
ERR7738594_bin.141	#ff7f0e
ERR7738196_bin.20	#1f77b4
ERR11604933_bin.5	#1f77b4
ERR11604950_bin.2	#1f77b4
SRR1761699_bin.15	#ff7f0e
SRR1761707_bin.22	#ff7f0e
SRR17643459_bin.2	#1f77b4
ERR7738608_bin.99	#1f77b4
ERR7745402_bin.49	#ff7f0e
ERR7745819_bin.78	#ff7f0e
SRR17643919_bin.2	#ff7f0e
ERR7745787_bin.111	#1f77b4
SRR17643968_bin.38	#ff7f0e
SRR17643989_bin.5	#aec7e8
ERR7746398_bin.102	#1f77b4
ERR7738514_bin.6	#ff7f0e
SRR1761678_bin.29	#ff9896
SRR1761692_bin.10	#ff7f0e
SRR17643968_bin.17	#ff7f0e
ERR7738580_bin.20	#aec7e8
ERR7738545_bin.29	#ff7f0e
SRR17643989_bin.19	#ffbb78
SRR1761676_bin.1	#1f77b4
ERR7738229_bin.28	#1f77b4
SRR1761719_bin.2	#ff7f0e
SRR1761700_bin.16	#ff7f0e
SRR1761695_bin.6	#ffbb78
ERR7738578_bin.33	#ff7f0e
SRR1761704_bin.15	#d62728
ERR7738553_bin.51	#ff7f0e
ERR7738267_bin.16	#1f77b4
ERR7738166_bin.53	#1f77b4
ERR7746398_bin.82	#1f77b4
ERR7738622_bin.34	#1f77b4
ERR7738622_bin.104	#1f77b4
ERR7738276_bin.42	#ff7f0e
ERR7738515_bin.11	#1f77b4
SRR8732230_bin.2	#1f77b4
ERR7738937_bin.52	#ff7f0e
ERR7738143_bin.69	#ff7f0e
ERR7746440_bin.26	#aec7e8
ERR7745819_bin.25	#ff7f0e
SRR17643531_bin.22	#ff7f0e
SRR1761691_bin.1	#ff7f0e
ERR7738182_bin.45	#9467bd
SRR1761680_bin.28	#ff7f0e
SRR17643466_bin.1	#ff7f0e
ERR11604944_bin.2	#aec7e8
ERR7738547_bin.44	#ff7f0e
ERR7738537_bin.13	#c5b0d5
ERR7738578_bin.2	#ff7f0e
SRR17643467_bin.5	#ff7f0e
SRR17643924_bin.15	#ff7f0e
SRR1761702_bin.4	#ff7f0e
ERR7738514_bin.83	#ff7f0e
ERR7745402_bin.34	#ff7f0e
SRR1761689_bin.1	#ff7f0e
ERR7738611_bin.123	#2ca02c
ERR7738267_bin.7	#d62728
ERR7738253_bin.81	#98df8a
ERR7745819_bin.16	#ff7f0e
ERR11604947_bin.3	#ff7f0e
ERR7738938_bin.85	#1f77b4
ERR7738562_bin.33	#ff7f0e
SRR1761685_bin.4	#d62728
SRR1761685_bin.6	#ff7f0e
SRR1761708_bin.12	#ff7f0e
SRR17643452_bin.13	#ff9896
ERR7738578_bin.67	#ff7f0e
SRR1761709_bin.15	#ff7f0e
SRR1761689_bin.16	#ff7f0e
SRR17643652_bin.26	#98df8a
SRR1761719_bin.5	#1f77b4
ERR7738597_bin.16	#ff7f0e
ERR7738182_bin.25	#ffbb78
ERR7738546_bin.31	#1f77b4
ERR7738597_bin.61	#ff7f0e
SRR1761696_bin.2	#ff7f0e
SRR1761707_bin.28	#1f77b4
SRR1761702_bin.2	#8c564b
ERR7745596_bin.30	#ff7f0e
ERR7738182_bin.31	#ff7f0e
SRR17644085_bin.12	#ff7f0e
SRR17643968_bin.45	#1f77b4
SRR1761707_bin.21	#ff7f0e
ERR7738537_bin.90	#ff9896
ERR7738578_bin.65	#1f77b4
ERR7738215_bin.49	#ff7f0e
ERR7738611_bin.155	#ff7f0e
ERR7738622_bin.50	#ff7f0e
SRR17643989_bin.2	#ff7f0e
ERR11604932_bin.3	#1f77b4
ERR7738276_bin.17	#aec7e8
ERR7738608_bin.14	#ff7f0e
SRR1761676_bin.4	#ff7f0e
ERR7738622_bin.52	#d62728
SRR17643520_bin.2	#ff9896
ERR7738578_bin.66	#c49c94
ERR7745402_bin.1	#ff9896
ERR7738267_bin.24	#ff7f0e
SRR1761703_bin.22	#ff7f0e
ERR7738143_bin.12	#ff7f0e
ERR7738547_bin.42	#ff7f0e
ERR7738608_bin.16	#ff7f0e
SRR17643474_bin.18	#ff7f0e
ERR7738166_bin.117	#ff7f0e
ERR7738353_bin.56	#1f77b4
ERR7738546_bin.17	#ff7f0e
ERR7738630_bin.159	#aec7e8
ERR7738578_bin.87	#ff7f0e
SRR17643919_bin.18	#1f77b4
ERR7738616_bin.70	#1f77b4
ERR7738549_bin.50	#ff7f0e
ERR7738537_bin.124	#8c564b
ERR7746398_bin.58	#ff7f0e
SRR8732230_bin.1	#9467bd
ERR7738604_bin.28	#1f77b4
ERR7738514_bin.78	#ff7f0e
ERR7738937_bin.60	#98df8a
ERR7738276_bin.43	#ff7f0e
ERR7738166_bin.46	#ff7f0e
ERR7738537_bin.48	#c5b0d5
ERR7738143_bin.16	#ff7f0e
ERR7738597_bin.83	#ff9896
SRR17643458_bin.2	#ff7f0e
SRR1761714_bin.4	#d62728
ERR7745836_bin.3	#ff9896
ERR7738630_bin.120	#ff7f0e
ERR11604936_bin.14	#98df8a
ERR7738553_bin.29	#c49c94
SRR1761690_bin.14	#ff7f0e
ERR7738612_bin.56	#ff7f0e
SRR17643452_bin.7	#ff7f0e
ERR7745596_bin.13	#ff7f0e
SRR1761689_bin.15	#ff7f0e
SRR1761683_bin.8	#ff7f0e
ERR7738549_bin.56	#1f77b4
SRR1761699_bin.7	#ff7f0e
ERR7738166_bin.118	#ff7f0e
ERR7738938_bin.52	#ff9896
SRR17643479_bin.13	#ff7f0e
SRR1761698_bin.6	#ff7f0e
ERR11604941_bin.15	#1f77b4
ERR7738938_bin.75	#ff7f0e
ERR7738143_bin.88	#9467bd
ERR7738545_bin.35	#ff7f0e
ERR7738562_bin.31	#ff7f0e
SRR1761691_bin.2	#ffbb78
SRR17643479_bin.6	#d62728
ERR7745402_bin.22	#ff7f0e
ERR7738624_bin.207	#e377c2
SRR17643968_bin.7	#ff7f0e
ERR7738611_bin.93	#ff9896
ERR7738937_bin.73	#ff7f0e
ERR7738547_bin.54	#ff7f0e
ERR7738353_bin.12	#e377c2
SRR1761710_bin.4	#ff9896
ERR7738611_bin.2	#ff9896
ERR7738143_bin.68	#ff9896
ERR7738515_bin.33	#ff7f0e
SRR17643913_bin.14	#d62728
SRR1761712_bin.15	#ff7f0e
ERR7738604_bin.2	#ff7f0e
ERR7738611_bin.3	#f7b6d2
ERR7738166_bin.88	#ff7f0e
ERR7738622_bin.15	#7f7f7f
SRR1761698_bin.14	#ff7f0e
ERR7738166_bin.27	#ff7f0e
ERR7738612_bin.59	#ff7f0e
ERR7738630_bin.80	#1f77b4
ERR7738578_bin.52	#1f77b4
ERR7738553_bin.83	#ff7f0e
ERR7738611_bin.103	#ff7f0e
ERR7738514_bin.47	#ff9896
ERR7738558_bin.12	#ff7f0e
ERR11604928_bin.3	#ff7f0e
ERR7738612_bin.72	#ff7f0e
ERR7738937_bin.70	#ff7f0e
ERR7745402_bin.20	#2ca02c
SRR17643452_bin.22	#d62728
SRR1761716_bin.14	#ff7f0e
ERR7738562_bin.25	#d62728
ERR7738562_bin.61	#ff7f0e
ERR7738937_bin.30	#aec7e8
ERR7745402_bin.78	#c5b0d5
SRR17643938_bin.3	#9467bd
SRR17643968_bin.23	#ff7f0e
ERR7738166_bin.9	#ff7f0e
SRR17643790_bin.1	#ff7f0e
SRR1761713_bin.2	#ff7f0e
ERR7738547_bin.50	#ff7f0e
SRR1761706_bin.13	#ff7f0e
SRR17643458_bin.18	#ff7f0e
ERR7738514_bin.89	#ff7f0e
ERR7738937_bin.74	#ff7f0e
ERR7738578_bin.15	#ff7f0e
ERR7738612_bin.133	#1f77b4
ERR7745836_bin.28	#ff7f0e
SRR17643657_bin.28	#ff7f0e
ERR7738612_bin.114	#7f7f7f
ERR11604936_bin.8	#1f77b4
ERR7738597_bin.42	#1f77b4
ERR7738182_bin.8	#ff7f0e
ERR7738630_bin.3	#ff7f0e
ERR7738276_bin.41	#ff7f0e
ERR7745402_bin.38	#ff7f0e
ERR7738558_bin.15	#ff7f0e
SRR1761717_bin.8	#ff7f0e
SRR1761678_bin.21	#ff7f0e
ERR7746440_bin.68	#ff7f0e
ERR7738143_bin.35	#ff7f0e
SRR1761712_bin.9	#ff7f0e
ERR11604937_bin.10	#d62728
ERR7738547_bin.65	#ff7f0e
ERR7738611_bin.8	#ff7f0e
ERR7738353_bin.23	#ff9896
SRR1761707_bin.20	#ff7f0e
ERR7738580_bin.24	#ff7f0e
SRR1761696_bin.24	#ff9896
ERR7738143_bin.38	#1f77b4
ERR7738612_bin.49	#ff7f0e
SRR1761676_bin.10	#ff7f0e
ERR7738580_bin.93	#ff7f0e
ERR7738546_bin.4	#1f77b4
SRR1761676_bin.13	#ff7f0e
ERR7738514_bin.26	#ff7f0e
ERR11604933_bin.9	#d62728
ERR7738608_bin.7	#ff7f0e
ERR7738166_bin.75	#ff7f0e
ERR7738553_bin.16	#ff7f0e
ERR7738597_bin.57	#ff7f0e
ERR7738196_bin.9	#9467bd
SRR1761707_bin.3	#d62728
SRR1761708_bin.2	#ff7f0e
SRR1761696_bin.4	#ff7f0e
ERR7738553_bin.9	#ff7f0e
SRR17643452_bin.17	#ff9896
ERR7738166_bin.103	#ff7f0e
ERR7738553_bin.20	#aec7e8
SRR17643809_bin.13	#ff7f0e
ERR7738629_bin.36	#ff7f0e
ERR7746398_bin.78	#1f77b4
ERR7738620_bin.37	#ff7f0e
SRR17643531_bin.9	#ff9896
ERR7745787_bin.75	#ff7f0e
ERR7738537_bin.14	#ff7f0e
ERR7738937_bin.24	#ff7f0e
ERR7738624_bin.134	#ff7f0e
ERR7738612_bin.46	#ff7f0e
SRR17643790_bin.13	#ff7f0e
ERR7738185_bin.14	#ff7f0e
ERR7738616_bin.9	#ff7f0e
ERR7738629_bin.75	#d62728
ERR7738622_bin.21	#1f77b4
ERR7738549_bin.61	#ff7f0e
SRR17643458_bin.15	#ff7f0e
ERR7738608_bin.140	#ff7f0e
ERR7738277_bin.39	#aec7e8
SRR17643458_bin.23	#ff7f0e
SRR17643792_bin.36	#ff7f0e
ERR7738546_bin.76	#ff7f0e
ERR7745402_bin.24	#ff7f0e
ERR7738620_bin.9	#ff7f0e
ERR7738277_bin.13	#ff7f0e
ERR7738594_bin.110	#ff7f0e
ERR7738158_bin.12	#d62728
ERR7738608_bin.8	#ff7f0e
ERR7738553_bin.19	#1f77b4
SRR17643478_bin.25	#1f77b4
SRR1761693_bin.23	#ff7f0e
ERR7738558_bin.64	#1f77b4
ERR7738215_bin.36	#ff7f0e
ERR11604952_bin.12	#ff7f0e
SRR1761711_bin.14	#ff7f0e
ERR7738620_bin.11	#1f77b4
SRR17643462_bin.8	#ff9896
SRR17643790_bin.2	#ff7f0e
ERR7738253_bin.4	#ff7f0e
ERR7738624_bin.200	#2ca02c
ERR7738608_bin.98	#ff7f0e
ERR7738616_bin.78	#ff7f0e
SRR17643919_bin.9	#ff7f0e
SRR1761705_bin.7	#d62728
ERR11604939_bin.12	#ff7f0e
SRR17643792_bin.26	#ff7f0e
ERR7738630_bin.169	#1f77b4
ERR7738624_bin.65	#ff9896
ERR7738620_bin.45	#ffbb78
ERR7738185_bin.38	#ff7f0e
ERR7738629_bin.45	#ff9896
ERR7745596_bin.23	#ff7f0e
ERR7738620_bin.33	#ff7f0e
ERR7746398_bin.18	#ff9896
ERR7738611_bin.74	#2ca02c
SRR1761715_bin.19	#ff7f0e
ERR7738562_bin.6	#ff7f0e
ERR7738620_bin.46	#ff7f0e
ERR7738608_bin.111	#ff7f0e
ERR7738624_bin.9	#ff7f0e
ERR7738937_bin.36	#98df8a
ERR7738630_bin.76	#aec7e8
SRR1761695_bin.16	#d62728
ERR7738166_bin.24	#ff7f0e
ERR7738612_bin.115	#ff7f0e
ERR7738196_bin.31	#ff7f0e
SRR17643804_bin.25	#ffbb78
ERR7738558_bin.108	#ff7f0e
ERR7738608_bin.95	#ff7f0e
ERR11604940_bin.7	#ff7f0e
ERR7738624_bin.5	#ff7f0e
ERR7738253_bin.121	#ff7f0e
ERR7738515_bin.38	#aec7e8
ERR7738166_bin.20	#2ca02c
ERR7738937_bin.91	#1f77b4
SRR1761698_bin.21	#ff7f0e
ERR11604951_bin.4	#ff7f0e
ERR7738630_bin.115	#ff7f0e
ERR7738612_bin.58	#ff7f0e
ERR7738558_bin.73	#ff7f0e
SRR1761713_bin.12	#ff9896
ERR7738549_bin.20	#ff7f0e
ERR7738622_bin.75	#ff7f0e
ERR7738253_bin.122	#ff7f0e
ERR7738353_bin.27	#1f77b4
ERR7738630_bin.125	#ff7f0e
SRR1761699_bin.26	#1f77b4
SRR1761713_bin.20	#ff7f0e
SRR1761703_bin.10	#ff9896
ERR7738630_bin.172	#ff9896
SRR17643508_bin.13	#ffbb78
ERR7738624_bin.124	#ff7f0e
ERR7738580_bin.75	#ff7f0e
ERR7745402_bin.89	#ff7f0e
SRR17643989_bin.10	#ff7f0e
ERR7738604_bin.9	#ff7f0e
ERR7738630_bin.112	#ff7f0e
SRR1761687_bin.26	#ff7f0e
ERR7738622_bin.28	#2ca02c
ERR7738611_bin.109	#ff7f0e
ERR7738276_bin.59	#ff7f0e
ERR7738612_bin.90	#ff7f0e
SRR17643504_bin.17	#d62728
ERR7738549_bin.51	#ff7f0e
ERR7738553_bin.34	#aec7e8
ERR7738515_bin.32	#ff7f0e
ERR7738937_bin.16	#ff7f0e
ERR7738608_bin.159	#98df8a
SRR1761678_bin.7	#ff7f0e
ERR7738549_bin.45	#ff7f0e
ERR11604948_bin.9	#ff7f0e
ERR7738158_bin.60	#ff7f0e
SRR1761709_bin.10	#ff9896
ERR7738629_bin.74	#aec7e8
ERR7738158_bin.32	#ff7f0e
ERR7738537_bin.25	#ff7f0e
ERR7738611_bin.151	#ff7f0e
ERR7738620_bin.70	#ffbb78
ERR7738608_bin.121	#ff7f0e
SRR17643913_bin.16	#ff7f0e
SRR17643508_bin.4	#ff7f0e
SRR17643452_bin.16	#ffbb78
ERR7738616_bin.62	#ff7f0e
SRR1761693_bin.5	#ff7f0e
ERR7738624_bin.42	#ff7f0e
SRR17643924_bin.24	#ffbb78
ERR7738558_bin.14	#ff7f0e
ERR7738143_bin.65	#aec7e8
SRR1761699_bin.28	#ff7f0e
ERR7738580_bin.69	#aec7e8
ERR7738166_bin.38	#ff7f0e
ERR7738622_bin.12	#ff7f0e
ERR7745787_bin.54	#ff7f0e
SRR1761697_bin.18	#ff7f0e
ERR7738624_bin.57	#ff7f0e
SRR17643933_bin.7	#ff7f0e
ERR7738937_bin.87	#ff7f0e
ERR7738608_bin.123	#ff7f0e
ERR7745787_bin.59	#ff7f0e
ERR7738604_bin.75	#2ca02c
ERR11604943_bin.1	#ff7f0e
ERR7738604_bin.18	#ff7f0e
ERR7738608_bin.13	#ff7f0e
SRR1761714_bin.8	#ff7f0e
ERR7738597_bin.38	#ffbb78
SRR1761701_bin.12	#ffbb78
SRR1761702_bin.18	#ff7f0e
ERR7738253_bin.26	#ff7f0e
SRR1761693_bin.1	#ff9896
ERR7738546_bin.1	#ff9896
SRR1761695_bin.8	#ff7f0e
ERR7738937_bin.64	#ff7f0e
ERR7738196_bin.44	#9467bd
ERR7738624_bin.153	#98df8a
ERR7738616_bin.76	#ff7f0e
ERR7745787_bin.34	#ff7f0e
ERR7738608_bin.89	#d62728
SRR17643458_bin.8	#ff7f0e
SRR17643938_bin.22	#ff7f0e
ERR11604949_bin.11	#ff7f0e
ERR7738546_bin.99	#ff7f0e
ERR7745787_bin.100	#ff7f0e
ERR7738612_bin.18	#d62728
ERR7745787_bin.9	#1f77b4
ERR7738547_bin.36	#ff7f0e
ERR7738937_bin.89	#ff9896
ERR7738622_bin.87	#ff9896
ERR7738937_bin.5	#ffbb78
ERR7738624_bin.97	#aec7e8
ERR7738937_bin.28	#ff7f0e
ERR7738630_bin.180	#ff7f0e
ERR7738353_bin.37	#ff7f0e
SRR1761712_bin.3	#aec7e8
ERR7738553_bin.85	#ff7f0e
ERR7738537_bin.78	#ff7f0e
ERR7738622_bin.152	#ff7f0e
ERR7738143_bin.85	#ff7f0e
ERR7738578_bin.34	#ff7f0e
SRR1761719_bin.16	#ff9896
ERR7738558_bin.80	#ff7f0e
ERR7738578_bin.1	#1f77b4
ERR7738620_bin.30	#ff7f0e
ERR7746398_bin.12	#ff7f0e
ERR7738604_bin.111	#ff7f0e
ERR7738196_bin.3	#e377c2
ERR7738630_bin.47	#ff7f0e
SRR17643482_bin.1	#ffbb78
ERR7738630_bin.70	#ff7f0e
ERR7738185_bin.59	#ff7f0e
ERR7738158_bin.34	#ff9896
ERR7745787_bin.21	#ff7f0e
ERR7738604_bin.20	#ff7f0e
SRR1761684_bin.8	#ff7f0e
ERR7738608_bin.81	#ff7f0e
ERR7738514_bin.65	#9467bd
ERR7738353_bin.2	#ff7f0e
ERR7745402_bin.53	#ff9896
SRR17643927_bin.15	#ff7f0e
ERR7738594_bin.140	#1f77b4
ERR7745402_bin.58	#1f77b4
SRR1761714_bin.11	#9467bd
SRR1761704_bin.2	#ff7f0e
ERR7738143_bin.31	#ff7f0e
SRR1761679_bin.6	#ff9896
SRR1761700_bin.15	#d62728
ERR7738253_bin.106	#ff9896
ERR7738578_bin.96	#1f77b4
ERR7738537_bin.66	#2ca02c
ERR7738276_bin.61	#ff7f0e
ERR7738597_bin.60	#ff7f0e
SRR1761676_bin.3	#ff9896
ERR7738622_bin.131	#ff7f0e
ERR7738624_bin.208	#ff7f0e
SRR1761714_bin.12	#d62728
ERR7738558_bin.100	#ff7f0e
ERR7738277_bin.2	#ff7f0e
ERR7738143_bin.19	#9467bd
ERR7738547_bin.49	#ff7f0e
ERR7738558_bin.19	#ff7f0e
ERR7738622_bin.74	#ff9896
ERR7738553_bin.66	#ff7f0e
ERR7738616_bin.69	#ff7f0e
ERR7738629_bin.13	#ff9896
ERR7738620_bin.7	#aec7e8
SRR1761702_bin.12	#9467bd
ERR7738553_bin.57	#ff7f0e
ERR7738143_bin.52	#ff7f0e
ERR7738553_bin.92	#2ca02c
SRR17643474_bin.9	#ff9896
ERR7738549_bin.17	#ff7f0e
ERR7738611_bin.21	#ff7f0e
SRR17643531_bin.2	#ffbb78
SRR17643924_bin.7	#aec7e8
ERR7745787_bin.22	#aec7e8
ERR7738611_bin.124	#ff9896
SRR1761714_bin.6	#ff9896
ERR7745819_bin.17	#aec7e8
ERR7738215_bin.25	#ff7f0e
SRR17643927_bin.4	#ff7f0e
SRR17643474_bin.34	#ff7f0e
ERR11604942_bin.15	#98df8a
ERR7738558_bin.106	#ff7f0e
SRR1761718_bin.28	#ff9896
ERR11604941_bin.6	#e377c2
ERR7738624_bin.81	#ff7f0e
ERR7738938_bin.68	#ff7f0e
ERR7738158_bin.71	#ff9896
SRR17643452_bin.26	#d62728
SRR1761713_bin.16	#ff9896
ERR7738515_bin.19	#ffbb78
