;Genome;original_bin;phylum;class;order;family;genus;species
878;MGYG000001267;SRR1761699_bin.3;Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Zag111;Zag111 sp004558955
879;MGYG000001026;ERR7745402_bin.26;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Angelakisella;Angelakisella sp900552845
880;MGYG000000241;ERR7738253_bin.50;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-170;CAG-170 sp934631005
881;MGYG000000581;ERR7738597_bin.95;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae_A;Parasutterella;Parasutterella excrementihominis
882;MGYG000000128;ERR7738166_bin.15;Bacillota;Bacilli;RF39;UBA660;CAG-611;CAG-611 sp900552235
883;MGYG000000449;ERR7738553_bin.71;Pseudomonadota;Alphaproteobacteria;RF32;CAG-239;RUG410;RUG410 sp934254675
884;MGYG000000630;ERR7738608_bin.166;Bacillota_A;Clostridia;UMGS1810;UMGS1810;RGIG1828;RGIG1828 sp934463165
885;MGYG000000044;ERR11604942_bin.4;Spirochaetota;Spirochaetia;Treponematales;Treponemataceae;Treponema_D;
886;MGYG000001010;ERR7738938_bin.53;Bacillota;Bacilli;RFN20;CAG-826;Enteromonas;Enteromonas sp900767605
887;MGYG000000424;ERR7738549_bin.5;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Anaerotardibacter;Anaerotardibacter sp900544455
888;MGYG000000653;ERR7738608_bin.87;Actinomycetota;Coriobacteriia;Coriobacteriales;UMGS124;UMGS124;UMGS124 sp934636245
889;MGYG000000872;ERR7738629_bin.22;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Wujia;Wujia sp022174665
890;MGYG000001273;SRR1761701_bin.1;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp900556495
891;MGYG000000754;ERR7738616_bin.83;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp022788105
892;MGYG000001522;SRR17643916_bin.12;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Lawsonibacter;Lawsonibacter sp900066825
893;MGYG000001368;SRR1761719_bin.15;Bacillota_A;Clostridia;TANB77;CAG-465;CAG-465;CAG-465 sp900772475
894;MGYG000000384;ERR7738546_bin.22;Bacillota_A;Clostridia;Christensenellales;Pumilibacteraceae;CAG-552;CAG-552 sp000435495
895;MGYG000001400;SRR17643458_bin.35;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia;Senegalimassilia faecalis
