;Genome;original_bin;phylum;class;order;family;genus;species
1;MGYG000001526;SRR17643919_bin.13;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella copri_B
2;MGYG000000332;ERR7738515_bin.43;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900313215
3;MGYG000001309;SRR1761707_bin.17;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900551275
4;MGYG000000087;ERR7738143_bin.57;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900551985
5;MGYG000001302;SRR1761705_bin.6;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900546535
6;MGYG000001239;SRR1761693_bin.7;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
7;MGYG000001437;SRR17643478_bin.2;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus
8;MGYG000001420;SRR17643466_bin.26;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900557035
9;MGYG000001476;SRR17643523_bin.9;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000433355
10;MGYG000000006;ERR11604930_bin.6;Pseudomonadota;Gammaproteobacteria;Enterobacterales_A;Succinivibrionaceae;Succinivibrio;Succinivibrio sp000431835
11;MGYG000000479;ERR7738562_bin.3;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus
12;MGYG000001406;SRR17643459_bin.9;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella hominis
13;MGYG000001560;SRR17643938_bin.16;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp000434975
14;MGYG000000049;ERR11604944_bin.10;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900544825
15;MGYG000001463;SRR17643508_bin.26;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
16;MGYG000000017;ERR11604933_bin.16;Pseudomonadota;Gammaproteobacteria;Enterobacterales_A;Succinivibrionaceae;WG-1;WG-1 sp900539665
17;MGYG000000547;ERR7738594_bin.143;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900548535
18;MGYG000001390;SRR17643456_bin.7;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_D
19;MGYG000001033;ERR7745402_bin.7;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp002251295
20;MGYG000001330;SRR1761711_bin.7;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900554835
21;MGYG000001154;SRR1761676_bin.11;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A wexlerae
22;MGYG000001379;SRR1761721_bin.20;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium sp900772565
23;MGYG000001566;SRR17643958_bin.31;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp000436035
24;MGYG000001291;SRR1761703_bin.21;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp000436915
25;MGYG000001228;SRR1761691_bin.18;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis
26;MGYG000001493;SRR17643790_bin.23;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella stercorea
27;MGYG000001276;SRR1761701_bin.16;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp002265625
28;MGYG000001234;SRR1761692_bin.6;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium duncaniae
29;MGYG000000508;ERR7738578_bin.79;Actinomycetota;Actinomycetia;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis
30;MGYG000000181;ERR7738196_bin.10;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900543975
31;MGYG000001595;SRR8732225_bin.5;Pseudomonadota;Gammaproteobacteria;Enterobacterales_A;Succinivibrionaceae;Succinivibrio;Succinivibrio sp000431835
32;MGYG000000820;ERR7738624_bin.105;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900548745
33;MGYG000000905;ERR7738630_bin.123;Spirochaetota;Spirochaetia;Treponematales;Treponemataceae;Treponema_D;Treponema_D sp900541945
34;MGYG000001457;SRR17643506_bin.3;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900290275
35;MGYG000001203;SRR1761686_bin.17;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus
36;MGYG000001146;ERR7746440_bin.56;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;
37;MGYG000000551;ERR7738594_bin.47;Spirochaetota;Spirochaetia;Treponematales;Treponemataceae;Treponema_D;Treponema_D peruense
38;MGYG000001488;SRR17643662_bin.8;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000433355
39;MGYG000001424;SRR17643467_bin.2;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium longum
40;MGYG000001255;SRR1761697_bin.23;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris
41;MGYG000001432;SRR17643474_bin.39;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_E;Ruminococcus_E bromii_B
42;MGYG000001148;ERR7746440_bin.72;Bacillota_A;Clostridia;Christensenellales;CAG-74;UBA11524;UBA11524 sp000437595
43;MGYG000001556;SRR17643933_bin.18;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprocola
44;MGYG000001358;SRR1761717_bin.16;Spirochaetota;Spirochaetia;Treponematales;Treponemataceae;Treponema_D;Treponema_D succinifaciens
45;MGYG000001114;ERR7745836_bin.45;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp002299635
46;MGYG000000738;ERR7738616_bin.34;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella faecis
47;MGYG000001456;SRR17643504_bin.9;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000433355
48;MGYG000000102;ERR7738158_bin.20;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp900544195
49;MGYG000000079;ERR7738143_bin.20;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA4372;UBA4372 sp900543815
50;MGYG000000683;ERR7738611_bin.61;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;RF16;RF16 sp900556095
51;MGYG000000272;ERR7738276_bin.60;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_D;Ruminococcus_D bicirculans
52;MGYG000000428;ERR7738549_bin.57;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes putredinis
53;MGYG000001461;SRR17643507_bin.7;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger;Gemmiger formicilis
54;MGYG000000164;ERR7738185_bin.11;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900546575
55;MGYG000001249;SRR1761696_bin.22;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens
56;MGYG000001438;SRR17643478_bin.21;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae
57;MGYG000000323;ERR7738515_bin.26;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;
58;MGYG000000271;ERR7738276_bin.6;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes shahii
59;MGYG000001414;SRR17643462_bin.9;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A massiliensis
60;MGYG000001139;ERR7746440_bin.19;Verrucomicrobiota;Kiritimatiellia;RFP12;UBA1067;RUG572;RUG572 sp900547945
61;MGYG000001459;SRR17643507_bin.13;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;Fusicatenibacter saccharivorans
62;MGYG000001399;SRR17643458_bin.24;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
63;MGYG000000735;ERR7738612_bin.96;Bacteroidota;Bacteroidia;Bacteroidales;WCHB1-69;F23-D06;F23-D06 sp934699095
64;MGYG000001561;SRR17643938_bin.2;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella timonensis
65;MGYG000000674;ERR7738611_bin.19;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella pectinovora
66;MGYG000000283;ERR7738353_bin.30;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium sp934525405
67;MGYG000001531;SRR17643919_bin.30;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_E
68;MGYG000001174;SRR1761679_bin.28;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis
69;MGYG000001510;SRR17643809_bin.5;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter faecis
70;MGYG000001377;SRR1761721_bin.16;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;Fusicatenibacter saccharivorans
71;MGYG000001423;SRR17643467_bin.18;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium sp900539945
72;MGYG000000194;ERR7738196_bin.7;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp002251385
73;MGYG000001516;SRR17643913_bin.19;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei
74;MGYG000000154;ERR7738182_bin.22;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Limisoma;Limisoma sp000437795
75;MGYG000000266;ERR7738276_bin.34;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;ER4;ER4 sp000765235
76;MGYG000001243;SRR1761695_bin.19;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;Anaerostipes hadrus
77;MGYG000001207;SRR1761686_bin.8;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Fimenecus;Fimenecus sp000432435
78;MGYG000000474;ERR7738562_bin.1;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;Acetatifactor sp900066565
79;MGYG000000291;ERR7738514_bin.107;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium sp900539885
80;MGYG000000372;ERR7738545_bin.31;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
81;MGYG000000968;ERR7738937_bin.22;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae
82;MGYG000001216;SRR1761688_bin.7;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger;Gemmiger qucibialis
83;MGYG000000697;ERR7738612_bin.103;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000432515
84;MGYG000001297;SRR1761704_bin.14;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-177;CAG-177 sp000431775
85;MGYG000000996;ERR7738937_bin.9;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron
86;MGYG000001288;SRR1761703_bin.12;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900556395
87;MGYG000000377;ERR7738545_bin.55;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp003447235
88;MGYG000000406;ERR7738547_bin.3;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis
89;MGYG000001453;SRR17643504_bin.12;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A faecis
90;MGYG000000296;ERR7738514_bin.20;Actinomycetota;Actinomycetia;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum
91;MGYG000000022;ERR11604935_bin.1;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia inulinivorans
92;MGYG000001372;SRR1761720_bin.12;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter sp900546625
93;MGYG000001504;SRR17643794_bin.13;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter faecis
94;MGYG000000331;ERR7738515_bin.42;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-217;CAG-217 sp000436335
95;MGYG000000414;ERR7738547_bin.56;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;ER4;ER4 sp900317525
96;MGYG000001050;ERR7745787_bin.106;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminiclostridium_E;Ruminiclostridium_E siraeum
97;MGYG000000516;ERR7738580_bin.111;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus sp004557565
98;MGYG000001205;SRR1761686_bin.2;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes finegoldii
99;MGYG000001268;SRR1761699_bin.30;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Fimenecus;Fimenecus sp004556705
100;MGYG000000046;ERR11604942_bin.6;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila
101;MGYG000000736;ERR7738616_bin.15;Spirochaetota;Spirochaetia;Treponematales;Treponemataceae;Treponema_D;Treponema_D berlinense
102;MGYG000001362;SRR1761718_bin.12;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;Acetatifactor intestinalis
103;MGYG000001505;SRR17643804_bin.15;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A obeum
104;MGYG000000193;ERR7738196_bin.6;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000435075
105;MGYG000000021;ERR11604934_bin.12;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
106;MGYG000000471;ERR7738558_bin.89;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella sp900540885
107;MGYG000000096;ERR7738143_bin.9;Verrucomicrobiota;Kiritimatiellia;RFP12;UBA1067;UBA1731;UBA1731 sp934667425
108;MGYG000001193;SRR1761684_bin.3;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter torques
109;MGYG000001443;SRR17643479_bin.14;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Dorea_A;Dorea_A longicatena_B
110;MGYG000000290;ERR7738514_bin.103;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;KLE1615;KLE1615 sp900066985
111;MGYG000000420;ERR7738549_bin.34;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius
112;MGYG000001130;ERR7746398_bin.71;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000431015
113;MGYG000001300;SRR1761705_bin.10;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-488;CAG-488 sp000434915
114;MGYG000000105;ERR7738158_bin.23;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-510;CAG-510 sp000434615
115;MGYG000001219;SRR1761689_bin.13;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas sp900548615
116;MGYG000001333;SRR1761712_bin.21;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-488;CAG-488 sp900539465
117;MGYG000001258;SRR1761698_bin.3;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900552515
118;MGYG000000524;ERR7738580_bin.34;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000434935
119;MGYG000001425;SRR17643467_bin.25;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Dorea_A;Dorea_A longicatena
120;MGYG000001401;SRR17643458_bin.7;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerobutyricum;Anaerobutyricum hallii
121;MGYG000001524;SRR17643919_bin.11;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-177;CAG-177 sp003514385
122;MGYG000001520;SRR17643913_bin.8;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia intestinalis
123;MGYG000001270;SRR1761700_bin.13;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;Coprococcus eutactus_A
124;MGYG000000514;ERR7738580_bin.100;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella sp900541575
125;MGYG000000093;ERR7738143_bin.83;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900552965
126;MGYG000000416;ERR7738547_bin.68;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio_A;Butyrivibrio_A crossotus
127;MGYG000001412;SRR17643462_bin.18;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii
128;MGYG000000053;ERR11604944_bin.4;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp934725575
129;MGYG000001373;SRR1761720_bin.13;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;UBA2882;UBA2882 sp900549665
130;MGYG000000212;ERR7738215_bin.89;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;UBA4334;UBA4334 sp934293005
131;MGYG000000360;ERR7738537_bin.87;Verrucomicrobiota;Kiritimatiellia;RFP12;UBA1067;RUG572;RUG572 sp900547945
132;MGYG000001172;SRR1761679_bin.2;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas sp000435555
133;MGYG000001513;SRR17643913_bin.15;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides intestinigallinarum
134;MGYG000000016;ERR11604933_bin.15;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900290275
135;MGYG000000488;ERR7738562_bin.64;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Dysosmobacter;Dysosmobacter sp001916835
136;MGYG000000421;ERR7738549_bin.36;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis
137;MGYG000001304;SRR1761705_bin.9;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900771975
138;MGYG000000231;ERR7738253_bin.16;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp900541925
139;MGYG000001019;ERR7738938_bin.92;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;RF16;
140;MGYG000000805;ERR7738622_bin.35;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000432655
141;MGYG000001441;SRR17643479_bin.10;Bacillota_C;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis
142;MGYG000000818;ERR7738622_bin.95;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp900545245
143;MGYG000001182;SRR1761681_bin.10;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius_A
144;MGYG000001144;ERR7746440_bin.41;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp900547405
145;MGYG000000484;ERR7738562_bin.46;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes onderdonkii
146;MGYG000001184;SRR1761681_bin.18;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes putredinis
147;MGYG000000466;ERR7738558_bin.58;Bacillota_C;Negativicutes;Selenomonadales;Selenomonadaceae;Anaerovibrio;Anaerovibrio sp900548165
148;MGYG000001133;ERR7746398_bin.79;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp900546445
149;MGYG000000611;ERR7738608_bin.101;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp900549585
150;MGYG000000422;ERR7738549_bin.40;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae_A;Sutterella;Sutterella wadsworthensis
151;MGYG000001301;SRR1761705_bin.15;Bacillota;Bacilli;Erysipelotrichales;Coprobacillaceae;Catenibacterium;Catenibacterium mitsuokai
152;MGYG000001110;ERR7745836_bin.21;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus;Ligilactobacillus ruminis
153;MGYG000000494;ERR7738578_bin.27;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;Odoribacter splanchnicus
154;MGYG000000092;ERR7738143_bin.71;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas sp003487665
155;MGYG000000568;ERR7738597_bin.50;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-170;CAG-170 sp002404795
156;MGYG000000546;ERR7738594_bin.141;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;Acetatifactor sp003447295
157;MGYG000000183;ERR7738196_bin.20;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella sp900768625
158;MGYG000000019;ERR11604933_bin.5;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000432515
159;MGYG000000065;ERR11604950_bin.2;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella stercorea
160;MGYG000001263;SRR1761699_bin.15;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp900540635
161;MGYG000001312;SRR1761707_bin.22;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira eligens_A
162;MGYG000001404;SRR17643459_bin.2;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes putredinis
163;MGYG000000660;ERR7738608_bin.99;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella sp900542795
164;MGYG000001030;ERR7745402_bin.49;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira sp003451515
165;MGYG000001096;ERR7745819_bin.78;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;UBA738;UBA738 sp003522945
166;MGYG000001528;SRR17643919_bin.2;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_D;Ruminococcus_D bicirculans
167;MGYG000001051;ERR7745787_bin.111;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900553155
168;MGYG000001576;SRR17643968_bin.38;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_I
169;MGYG000001585;SRR17643989_bin.5;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae
170;MGYG000001115;ERR7746398_bin.102;Bacteroidota;Bacteroidia;Bacteroidales;P3;Onthomorpha;Onthomorpha sp900546465
171;MGYG000000306;ERR7738514_bin.6;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;RUG115;RUG115 sp900066395
172;MGYG000001169;SRR1761678_bin.29;Bacillota;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;Holdemanella sp900556915
173;MGYG000001232;SRR1761692_bin.10;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;Eisenbergiella sp900066775
174;MGYG000001569;SRR17643968_bin.17;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;UBA1417;UBA1417 sp003531055
175;MGYG000000521;ERR7738580_bin.20;Pseudomonadota;Alphaproteobacteria;Rs-D84;Rs-D84;Enterousia;Enterousia sp900550565
176;MGYG000000371;ERR7738545_bin.29;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter sp934365945
177;MGYG000001583;SRR17643989_bin.19;Actinomycetota;Actinomycetia;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pseudocatenulatum
178;MGYG000001152;SRR1761676_bin.1;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella buccae
179;MGYG000000215;ERR7738229_bin.28;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis
180;MGYG000001370;SRR1761719_bin.2;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_E;Ruminococcus_E sp900543095
181;MGYG000001272;SRR1761700_bin.16;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Faecousia;Faecousia sp900544945
182;MGYG000001245;SRR1761695_bin.6;Actinomycetota;Actinomycetia;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium bifidum
183;MGYG000000495;ERR7738578_bin.33;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis
184;MGYG000001298;SRR1761704_bin.15;Bacillota_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;Phascolarctobacterium_A sp900551335
185;MGYG000000445;ERR7738553_bin.51;Bacillota_A;Clostridia;Christensenellales;CAG-917;CAG-349;CAG-349 sp003539515
186;MGYG000000254;ERR7738267_bin.16;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp900557405
187;MGYG000000141;ERR7738166_bin.53;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella sp900539625
