"","cluster","phylum","class","order","family","genus","species"
"55","506_1","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Succinivibrionaceae","Succinivibrio","Succinivibrio sp000431835"
"56","518_12","Bacillota_A","Clostridia","Christensenellales","CAG-917","CAG-349","CAG-349 sp003539515"
"57","592_34","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus"
"58","596_1","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii"
"59","600_1","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia stercoris"
"60","601_1","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Blautia_A faecis"
"61","605_1","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Blautia_A massiliensis"
"62","608_12","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Blautia_A wexlerae"
"63","622_2","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter faecis"
"64","623_14","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Dorea_A","Dorea_A longicatena"
"65","638_34","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira sp003451515"
"66","653_1","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Butyrivibrio_A","Butyrivibrio_A crossotus"
"67","673_1","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia inulinivorans"
"68","679_1","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter faecis"
"69","681_12","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","RUG115","RUG115 sp900066395"
"70","684_35","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter sp900546625"
"71","684_4","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis"
"72","687_1","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-194","CAG-194 sp000432915"
"73","692_1","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-510","CAG-510 sp000434615"
"74","693_12","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia hominis"
"75","711_1","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hominisplanchenecus","Hominisplanchenecus faecis"
"76","715_1","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Clostridium_Q","Clostridium_Q fessum"
"77","716_14","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans"
"78","719_1","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","Eisenbergiella sp900066775"
